ufs_serial,run_wf_xy,prob,health
S00513,0000004_4_51_24,0.4735285220287212,0.0
S00514,0000004_4_40_21,0.48253941737841016,0.0
S00515,0000004_4_49_17,0.5110183313663171,0.0065527516282994
S00516,0000004_4_53_20,0.51297960165288,0.0
S00518,0000006_10_44_19,0.5062516577948525,0.0
S00519,0000011_10_14_24,0.5205797096096036,0.0
S00520,0000011_10_58_16,0.4919392664693301,0.0
S00521,0000013_8_18_22,0.4973967417815427,0.004380398378283
S00522,0000011_14_47_26,0.5209405024442678,0.0
S00523,0000011_10_22_23,0.5065082478652222,0.0
S00524,0000011_10_60_20,0.5155030124783172,0.0073659093266936
S00525,0000011_10_37_30,0.5242253424894243,0.0022026334100044
S00527,0000013_16_34_27,0.4878275539202407,0.0022325840475805
S00529,0000013_8_38_24,0.5265909123591002,0.0022204351516776
S00531,0000013_16_26_14,0.45630332958493547,0.0
S00537,0000013_14_27_15,0.5136574095234197,0.0
S00538,0000013_16_47_30,0.5144884152424395,0.0
S00539,0000013_13_57_17,0.5231340326555605,0.0
S00540,0000013_10_26_15,0.5048556603722885,0.0043980160257686
S00543,0000013_7_21_26,0.5424812761936327,0.0024125042473666
S00545,0000013_12_21_23,0.5070090839357536,0.0
S00547,0000013_14_37_24,0.47738978957135797,0.0024299851365094
S00548,0000013_5_53_24,0.5410790587666485,0.0022212091958954
S00550,0000013_12_21_28,0.48206599932803373,0.0048952977562397
S00551,0000013_4_48_26,0.506359622824508,0.0
S00552,0000013_6_58_18,0.5132409100732256,0.0021787351938066
S00553,0000013_14_21_25,0.5270145272260724,0.0
S00554,0000013_4_44_13,0.4767938516125197,0.0
S00555,0000013_4_51_19,0.4955457482692222,0.0
S00557,0000013_6_33_13,0.5267247178362311,0.0086994954467681
S00558,0000013_1_37_27,0.5291955748567845,0.0
S00559,0000013_5_39_17,0.5468473472575456,0.0
S00560,0000013_6_62_18,0.5055258094886913,0.0
S00561,0000013_1_29_27,0.575657690634911,0.0
S00562,0000013_1_37_18,0.5566840467032501,0.0109444848164541
S00564,0000013_2_23_29,0.5184930543192198,0.0
S00565,0000013_2_29_28,0.5258420195943772,0.0
S00566,0000013_2_52_16,0.5211868931445502,0.0
S00567,0000013_2_54_22,0.5190861114095441,0.0
S00568,0000013_2_46_15,0.5179102559437818,0.0
S00570,0000014_9_41_17,0.23722089203140073,0.0022028091356744
S00571,0000014_14_60_23,0.3132068883906708,0.0
S00574,0000013_24_42_31,0.4470218867429195,0.0
S00577,0000014_23_35_26,0.22656757396548258,0.0
S00579,0000013_22_23_28,0.40537213785292686,0.0
S00580,0000023_4_21_29,0.5030115491017584,0.0022136704169895
S00581,0000023_15_49_31,0.48642163536110905,0.0
S00582,0000023_5_21_14,0.541889008708456,0.0022362909068002
S00583,0000010_21_47_22,0.522409236612282,0.0
S00584,0000010_4_28_16,0.42862130475106636,0.0
S00585,0000010_3_44_29,0.480593160513757,0.0
S00586,0000010_4_38_15,0.47302485709102277,0.0
S00587,0000010_5_37_16,0.4667373952210985,0.0
S00588,0000010_4_17_20,0.4505141220604674,0.0
S00589,0000010_4_19_25,0.44734555097015943,0.0
S00590,0000010_11_19_17,0.488501328856293,0.0
S00593,0000010_10_32_24,0.4681753885598609,0.0
S00594,0000010_3_55_17,0.48510833367606077,0.0
S00598,0000026_3_60_28,0.4182620928836588,0.0
S00599,0000001_19_18_15,0.45523267650880356,0.0
S00600,0000008_22_53_30,0.4747358081918358,0.0
S00603,0000019_9_24_30,0.35367341504840144,0.0
S00605,0000005_22_50_21,0.47964523810839665,0.0
S00606,0000004_7_44_23,0.4696950550568245,0.0
S00607,0000003_16_20_17,0.5168201623328245,0.0
S00612,0000004_25_18_26,0.5311108691911224,0.0
S00614,0000004_9_18_19,0.5116931849405482,0.0
S00616,0000004_5_25_29,0.5173299273165848,0.0
S00617,0000024_8_26_20,0.6048704344419209,0.0
S00618,0000024_11_30_19,0.6372301901880121,0.0
S00619,0000024_15_55_24,0.5423219905052057,0.0
S00621,0000024_10_37_17,0.5649239158821203,0.0
S00624,0000024_7_56_21,0.5861445334097738,0.0
S00626,0000024_24_60_18,0.5502872718571149,0.0
S00629,0000024_9_36_27,0.6103157486577394,0.0
S00630,0000024_23_49_28,0.5735658606216757,0.0
S00632,0000002_22_58_14,0.45769006915736515,0.0
S00634,0000006_23_49_29,0.5450208832368839,0.0
