ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00580,1,train,0.0022136704169895,0.3992537462906813,
S00581,1,train,0.0,0.45817571390708434,
S00582,1,train,0.0022362909068002,0.422967091851552,
S00583,1,train,0.0,0.38230390289478605,
S00584,1,train,0.0,0.15737227438706733,
S00585,1,train,0.0,0.24759030412379723,
S00586,1,train,0.0,0.14797387191668665,
S00587,1,train,0.0,0.15862472103981512,
S00588,1,train,0.0,0.24281922223370425,
S00589,1,train,0.0,0.1731064731091981,
S00590,1,train,0.0,0.2707394077474456,
S00593,1,train,0.0,0.17507450686418866,
S00594,1,train,0.0,0.14056686600229373,
S00598,1,train,0.0,0.1811216848113638,
S00599,1,train,0.0,0.2979502400546059,
S00600,1,train,0.0,0.3976453745495598,
S00603,1,train,0.0,0.17509302453051132,
S00605,1,train,0.0,0.37788250074895374,
S00606,1,train,0.0,0.48566369258233305,
S00607,1,train,0.0,0.4445949176859371,
S00612,1,train,0.0,0.4527129790667284,
S00614,1,train,0.0,0.4392042406723671,
S00616,1,train,0.0,0.4844634735273359,
S00617,1,train,0.0,0.4685919808331265,
S00618,1,train,0.0,0.5009195991049994,
S00619,1,train,0.0,0.45615807352020044,
S00621,1,train,0.0,0.4959657877244999,
S00624,1,train,0.0,0.49154088721471134,
S00626,1,train,0.0,0.4212874406491694,
S00629,1,train,0.0,0.4577364484853122,
S00630,1,train,0.0,0.48258232975007975,
S00632,1,train,0.0,0.28188295764112287,
S00634,1,train,0.0,0.39720820991720646,
S00635,1,train,0.0,0.4288543480824388,
S00636,1,train,0.0,0.4149744345193107,
S00637,1,train,0.0,0.37985194117336757,
S00638,1,train,0.0,0.4163943529443849,
