ufs_serial,position,split,health,clf_proba
S01476,1,train,0.0147618793030729,0.3644067796610169
S01478,1,train,0.0014308746473196,0.3492702566683442
S01480,1,train,0.0174992297874213,0.3492702566683442
S01485,1,train,0.0029295608605953,0.3630573248407643
S01486,1,train,0.0086723609935698,0.3027522935779816
S01488,1,train,0.0014427752376805,0.340016708437761
S01496,1,train,0.0,0.3492702566683442
S01501,1,train,0.0029028932558839,0.3027522935779816
S01507,1,train,0.0028689352613501,0.3492702566683442
S01512,1,train,0.004305341395381,0.3391812865497077
S01513,1,train,0.0,0.3492702566683442
S01518,1,train,0.0014647415777359,0.27876712328767117
