ufs_serial,position,split,health,clf_proba
S07000,1,train,0.0044834756408348,0.37324803160891423
S07034,1,train,0.0022487059760379,0.6218898219965064
S07043,1,train,0.0022915369896488,0.35926826424902736
S07045,1,train,0.0,0.5337826383433947
S07073,1,train,0.0,0.2500718355132868
S07125,1,train,0.0,0.5699180357953553
S07138,1,train,0.0,0.4735011979950207
S07181,1,train,0.0,0.4019913357607347
S07221,1,train,0.0,0.19919774035913404
S07249,1,train,0.0042667902919789,0.6256913919811427
S07281,1,train,0.0102352730043571,0.6214727282732949
S07312,1,train,0.0,0.323817452471409
S07313,1,train,0.0,0.7678370040090937
S07316,1,train,0.0060135274117632,0.07750375579167043
S07363,1,train,0.001475951201549,0.4380567912405898
S07375,1,train,0.0482477429375788,0.1513221817176919
S07393,1,train,0.0014912162263528,0.41479542405725095
S07427,1,train,0.0014308375725854,0.549669628171081
S07429,1,train,0.0,0.5028214267699579
