ufs_serial,position,split,health,clf_proba_mean,lds_weight
S11035,1,train,0.0007580749472245,0.241204850676068,0.8167163016441945
S11089,1,train,0.0112933861044167,0.33671379324507317,0.7501628925583522
S11169,1,train,0.0089136298105112,0.42248502346446654,0.7095304998172197
S11177,1,train,0.0155664447586966,0.5147892760779216,0.9162041787531358
S11229,1,train,0.0131244970936283,0.5067292107631184,0.8049311876942137
S11232,1,train,0.0171500543487637,0.34236462499801323,1.0171928333973443
S11255,1,train,0.0226555992524108,0.3726985216144052,1.6394714075678218
S11262,1,train,0.0154451837458373,0.40322829154404083,0.9094914953539959
S11296,1,train,0.0110604030259533,0.37483998916995737,0.7447292570642341
S11345,1,train,0.0022350438689193,0.5544791028938546,0.7651168589961402
S11357,1,train,0.0128897284166209,0.5191493005783259,0.7966525476470676
S11403,1,train,0.0160312237920134,0.47081291500066563,0.9432154834624573
S11404,1,train,0.0152382003593394,0.43799231812165873,0.8983433257383528
S11461,1,train,0.0,0.4437925309164333,1.0
S11477,1,train,0.0115638037817942,0.45629966407535133,0.7568868665122527
S11489,1,train,0.0054746158750091,0.45520387289895153,0.7058758030682748
S11500,1,train,0.0218602926853789,0.33279810236694346,1.5148791007752571
S11564,1,train,0.0,0.34688998822668715,1.0
S11611,1,train,0.0,0.3116255365216994,1.0
S11619,1,train,0.0,0.28214368318586364,1.0
S11654,1,train,0.0,0.26667811306112393,1.0
S11679,1,train,0.0,0.20578023274279852,1.0
S11785,1,train,0.0,0.3444135847141124,1.0
S11853,1,train,0.0,0.3525180010595291,1.0
S11854,1,train,0.0,0.41069735580921557,1.0
S11860,1,train,0.0,0.3143243646705523,1.0
S11898,1,train,0.0,0.4104041331093023,1.0
S11944,1,train,0.0,0.3568890954883448,1.0
S11960,1,train,0.0,0.1518681792301422,1.0
S11969,1,train,0.0,0.5055587765199154,1.0
S12079,1,train,0.0,0.42977723218612157,1.0
S12158,1,train,0.0,0.3877409469247863,1.0
S12164,1,train,0.0,0.4876242369617942,1.0
S12168,1,train,0.0,0.11283547800218367,1.0
S12301,1,train,0.0,0.40178255889176845,1.0
S12308,1,train,0.0,0.4796468507414942,1.0
S12310,1,train,0.0,0.2287287381619961,1.0
S12443,1,train,0.0,0.28770686982783744,1.0
S12470,1,train,0.0,0.49393427131272,1.0
S12474,1,train,0.0,0.4141326042050193,1.0
S12490,1,train,0.0,0.29887313687921374,1.0
S12531,1,train,0.0,0.2834855559911526,1.0
S12634,1,train,0.0,0.5184209059531603,1.0
S12655,1,train,0.0,0.29093746529022785,1.0
S12684,1,train,0.0,0.3357400994482613,1.0
S12687,1,train,0.0,0.41409819601749115,1.0
S12716,1,train,0.0,0.44096936620707794,1.0
S12817,1,train,0.0,0.37078562256017983,1.0
S12827,1,train,0.0,0.3205735114908798,1.0
S12833,1,train,0.0,0.46711305447062434,1.0
S12852,1,train,0.0,0.2573884352891331,1.0
S12854,1,train,0.0,0.30140546851133176,1.0
S12870,1,train,0.0,0.35949540528016294,1.0
S12889,1,train,0.0,0.33471858653066283,1.0
S12891,1,train,0.0,0.5795599628775003,1.0
