feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X889,0.0,0.0010903893060785674,0.0,False,False,True
X890,0.0,0.0007166394168514406,0.0,False,False,True
X891,0.0,0.0009415295305573028,0.0,False,False,True
X892,0.0,0.0017688282585210055,0.0,False,False,True
X893,0.0,0.0014952994170624313,0.0,False,False,True
X894,0.0,0.0015668130846920871,0.0,False,False,True
X895,0.0,0.0006740464360118311,0.0,False,False,True
X898,0.0,0.0006730898232288125,0.0,False,False,True
X899,0.0,0.0009654609025808496,0.0,False,False,True
X900,0.0,0.0009368461598380717,0.0,False,False,True
X903,0.0,0.0005908984983400859,0.0,False,False,True
X904,0.0,0.0009083544338711527,0.0,False,False,True
X905,0.0,0.0008495487674506535,0.0,False,False,True
X907,0.0,0.0007702719329105304,0.0,False,False,True
X910,0.0,0.0014745670010932732,0.0,False,False,True
X911,0.0,0.0012027999939133588,0.0,False,False,True
X912,0.0,0.008985562276843585,5.570514906738421e-05,False,False,False
X913,0.0,0.004473465944285167,0.0,False,False,True
X914,0.0,0.0004832805882654176,0.0,False,True,True
X915,0.0,0.0035886231548827845,0.0,False,False,True
X916,0.0,0.0030093007466177814,8.108894070156687e-05,False,False,False
X917,0.0,0.0009038543134589492,0.0,False,False,True
X918,0.0,0.011760217418074714,0.0003515965141650324,False,False,False
X919,0.0,0.0012118192153157724,0.0,False,False,True
X920,0.0,0.004735501236212645,6.053681698787843e-05,False,False,False
X921,0.0,0.0,0.0,False,True,True
X922,0.0,3.853767262142852e-07,0.0,False,True,True
X923,0.0,2.5237149143843604e-07,0.0,False,True,True
X924,0.0,0.016076290161750044,0.0003785194581349949,False,False,False
X925,0.0,0.00201763277502239,0.0,False,False,True
X926,0.0,0.0010137319206761264,0.0,False,False,True
X927,0.0,0.004114753966958431,8.444103921334882e-05,False,False,False
X928,0.0,0.0010441532697346057,0.0,False,False,True
X929,0.0,0.0014980200359781615,0.0,False,False,True
X930,0.0,9.861317700981734e-05,0.0,False,True,True
X931,0.0,0.007987241845290703,0.0004555553647060172,False,False,False
X932,0.0,0.0009513048549609697,0.0,False,False,True
X933,0.0,0.0,0.0,False,True,True
X935,0.0,0.00869893472571571,0.00029332864263214886,False,False,False
X936,0.0,0.0007401259345977062,0.0,False,False,True
X937,0.0,0.0005407953660412862,0.0,False,False,True
X938,0.0,0.0009150883762563304,0.0,False,False,True
X939,0.0,0.0009609631379479092,0.00015745741850874782,False,False,False
