ufs_serial,position,split,health,reg_pred_die
S10539,1,train,0.0,0.0014404936354387445
S10541,1,train,0.0,0.0017894125099398872
S10633,1,train,0.0,0.0035703822325252013
S10718,1,train,0.0,0.0007053797814284278
S10723,1,train,0.0,0.002832548453036258
S10742,1,train,0.0,0.0010593510418615314
S10778,1,train,0.0,0.00234142653786364
S10792,1,train,0.0305643018793663,0.002930328635521373
S10848,1,train,0.0074152984918745,0.0018613550215900332
S10877,1,train,0.0057861173929873,0.0014988084881389515
S10879,1,train,0.0,0.0021523684447339974
S10882,1,train,0.0,0.00106130799477961
S10902,1,train,0.021417995672075,0.002432243133263625
S10913,1,train,0.0123672218852548,0.0024747489074275803
S10956,1,train,0.021171085816856,0.0038388258043043993
S10957,1,train,0.0173087052862074,0.0015441159321181955
S10977,1,train,0.014310847737763,0.0019004663392923286
S10996,1,train,0.0162414509465231,0.003147384652737631
S10997,1,train,0.0116597693383256,0.0022197257255032288
S11035,1,train,0.0007580749472245,0.0015555686898168543
S11089,1,train,0.0112933861044167,0.002220328616557418
S11169,1,train,0.0089136298105112,0.002599849653042975
S11177,1,train,0.0155664447586966,0.0035436535220817575
S11229,1,train,0.0131244970936283,0.0032679777884621203
S11232,1,train,0.0171500543487637,0.002257590836579608
S11255,1,train,0.0226555992524108,0.002293478036601542
S11262,1,train,0.0154451837458373,0.002775701480068833
S11296,1,train,0.0110604030259533,0.0024174030879136367
S11345,1,train,0.0022350438689193,0.0036562975563708194
S11357,1,train,0.0128897284166209,0.0031946934305934803
S11403,1,train,0.0160312237920134,0.0032409335664388417
S11404,1,train,0.0152382003593394,0.0028246825656311554
S11461,1,train,0.0,0.002926417853904229
S11477,1,train,0.0115638037817942,0.00280793509223577
S11489,1,train,0.0054746158750091,0.0031334856463083355
S11500,1,train,0.0218602926853789,0.002146268230599253
S11564,1,train,0.0,0.002287431590592403
S11611,1,train,0.0,0.0019176526930153109
S11619,1,train,0.0,0.0019421916949632933
S11654,1,train,0.0,0.0017198498362474388
S11679,1,train,0.0,0.0013569379949580273
S11785,1,train,0.0,0.0021194207817820617
S11853,1,train,0.0,0.002426627193109466
S11854,1,train,0.0,0.002648652984783342
S11860,1,train,0.0,0.002072690206816969
S11898,1,train,0.0,0.0025255073761481215
S11944,1,train,0.0,0.002456716483791738
S11960,1,train,0.0,0.0009794221962275945
S11969,1,train,0.0,0.003333711423107403
S12079,1,train,0.0,0.002644723779371636
S12158,1,train,0.0,0.0026690912885631965
S12164,1,train,0.0,0.0031447667544310374
S12168,1,train,0.0,0.0007440498304411212
S12301,1,train,0.0,0.002472452722152736
S12308,1,train,0.0,0.0033017437055705913
S12310,1,train,0.0,0.001475108243258148
S12443,1,train,0.0,0.0018971714526525548
S12470,1,train,0.0,0.003039527492283794
S12474,1,train,0.0,0.0028507634671042976
S12490,1,train,0.0,0.0019274806980603574
S12531,1,train,0.0,0.0018693356345212812
S12634,1,train,0.0,0.003190211102443748
S12655,1,train,0.0,0.0020027254286182905
S12684,1,train,0.0,0.002165241640679537
S12687,1,train,0.0,0.0027306100704144287
S12716,1,train,0.0,0.002713596908914987
S12817,1,train,0.0,0.0025523759689270865
S12827,1,train,0.0,0.002067429887343198
S12833,1,train,0.0,0.0030801960086434526
S12852,1,train,0.0,0.001583893385607805
S12854,1,train,0.0,0.002074783993564024
S12870,1,train,0.0,0.0023184434103187255
S12889,1,train,0.0,0.002207171999119033
S12891,1,train,0.0,0.003566443032817699
S12964,1,train,0.0,0.0031594954026504455
S12966,1,train,0.0,0.002448714805903112
S12973,1,train,0.0,0.0015533325765036113
S12985,1,train,0.0,0.0024288353215872207
S12987,1,train,0.0,0.00279023390541543
S12992,1,train,0.0,0.0028214509590442356
S12993,1,train,0.0,0.0020277166502305744
S13033,1,train,0.0,0.0021618491390022893
S13039,1,train,0.0,0.0019948893290892616
S13040,1,train,0.0,0.0006642281928176142
S13055,1,train,0.0,0.0023115102417899072
S13126,1,train,0.0,0.0013218233773642342
S13154,1,train,0.0,0.002481907285371739
S13218,1,train,0.0,0.003245433183354771
S13227,1,train,0.0,0.0031885570625530607
S13231,1,train,0.0,0.0023604205643720363
S13233,1,train,0.0,0.002727710190517042
S13239,1,train,0.0,0.0029208316752888704
S13244,1,train,0.0,0.002338415274055875
S13271,1,train,0.0,0.001984967575254659
S13280,1,train,0.0,0.0025851142387713537
S13281,1,train,0.0,0.001087135679978019
S13299,1,train,0.0,0.0023434003450701337
S13326,1,train,0.0,0.0017740779457989333
S13334,1,train,0.0,0.00145640539366334
S13393,1,train,0.0,0.0011061537922669963
S13409,1,train,0.0,0.002307688691372696
S13413,1,train,0.0,0.001296022588894015
S13417,1,train,0.0,0.002211710975884969
S13445,1,train,0.0,0.0018481290181695282
S13447,1,train,0.0,0.0020986516902928728
S13470,1,train,0.0018501973047427,0.0023391523804864034
S13516,1,train,0.0064117449751012,0.0029850222675042817
S13532,1,train,0.0065312065517069,0.0019400630888770688
S13556,1,train,0.0,0.002032976668620471
S13568,1,train,0.0013221495971035,0.00325020689290661
S13607,1,train,0.0064782372937913,0.0019720084137210005
S13677,1,train,0.009332071532112,0.0021628252930830983
S13707,1,train,0.0013453521736776,0.0018342840069450943
S13723,1,train,0.0051432903087267,0.0029758774058193677
S13752,1,train,0.0064405602380285,0.0025801916420579306
S13770,1,train,0.0128920466188856,0.00206589343433071
S13797,1,train,0.007736371843965,0.0028435353275720987
S13803,1,train,0.0120482901286443,0.0023313043127749524
S13805,1,train,0.0104932015877037,0.0018319480031005976
S13856,1,train,0.0,0.001541519092389191
S13878,1,train,0.0065902882753865,0.0024884698630372776
S13880,1,train,0.0025878542678767,0.0029007793999997105
S13896,1,train,0.0121121039805036,0.0035878965017658044
S13924,1,train,0.003759768210668,0.0028723811398967242
S13926,1,train,0.0037898284664157,0.002228489506170798
S13996,1,train,0.0074700334423026,0.001779313349555625
S14013,1,train,0.0056096707563461,0.002340032937488751
S14016,1,train,0.0018746298831845,0.0030209622099885143
S14018,1,train,0.0055242477797414,0.003203369914400059
S14064,1,train,0.0040422607380175,0.001860224192841942
S14117,1,train,0.0,0.0023635573109444838
S14173,1,train,0.0,0.0013491592841300192
S14193,1,train,0.0,0.0022486927720207026
S14218,1,train,0.0,0.0015765791647747622
S14221,1,train,0.0,0.0019756911570607814
S14244,1,train,0.0,0.0009390231168270031
S14310,1,train,0.0,0.003267822544476769
S14341,1,train,0.0,0.0023571174691346904
S14397,1,train,0.0,0.0023096374076034096
S14399,1,train,0.0,0.0021083947176889837
S14447,1,train,0.0,0.001718593565604335
S14468,1,train,0.0,0.0027208199609599776
S14489,1,train,0.0,0.0033329385261496583
S14591,1,train,0.0,0.0018277656209887642
S14592,1,train,0.0,0.0032937932730077103
S14614,1,train,0.0,0.002637840931885417
S14645,1,train,0.0,0.0025899028573418406
S14672,1,train,0.0,0.0014620789257003958
S14720,1,train,0.0,0.00272330718039771
S14759,1,train,0.0,0.001676850953594497
S14806,1,train,0.0,0.0027451009546654533
S14809,1,train,0.0,0.0030080473630432424
S14823,1,train,0.0,0.0016049112836756011
S14848,1,train,0.0,0.0023936635372342895
S14858,1,train,0.0,0.0021616623343963083
S14874,1,train,0.0,0.002700510068724265
S14877,1,train,0.0,0.0025368594879001775
S14969,1,train,0.0,0.00315419394884248
S14979,1,train,0.002042921912701,0.0038354141484485183
