ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00131,0000017_3_63_24,1,0.32145318762888025,0.6785468123711198,0.0009767666391759231,0.0006627818894432744,0.0006627818894432744,0.0
S00132,0000017_9_37_26,1,0.18343553365901602,0.816564466340984,0.0008301175633303142,0.000677844505101096,0.000677844505101096,0.0
S00133,0000017_9_35_15,1,0.18364109352523764,0.8163589064747624,0.0007140584326566268,0.0005829279612426467,0.0005829279612426467,0.0
S00134,0000017_11_39_25,1,0.16332169020859583,0.8366783097914041,0.0008459391023095125,0.0007077788983067806,0.0007077788983067806,0.0
S00135,0000018_24_27_14,1,0.1407396411524491,0.8592603588475509,0.000894384830017032,0.0007685094299882408,0.0007685094299882408,0.0024002704530087
S00136,0000001_22_29_23,1,0.2467431368618132,0.7532568631381868,0.0008381470112686499,0.0006313399885568698,0.0006313399885568698,0.0024124339857098
S00137,0000001_1_62_25,1,0.19409284888109987,0.8059071511189001,0.0007703194511210195,0.0006208059543044156,0.0006208059543044156,0.0
S00138,0000009_20_36_24,1,0.2753776974651819,0.7246223025348181,0.0008056022005159778,0.0005837573214650041,0.0005837573214650041,0.0024209654634906
S00139,0000018_24_19_25,1,0.1323951587062727,0.8676048412937273,0.0008852507210538393,0.0007680478113450739,0.0007680478113450739,0.0023857183316292
S00142,0000001_17_25_28,1,0.2193298696990972,0.7806701303009028,0.0009409662882766469,0.0007345842748776868,0.0007345842748776868,0.0023883666839667
S00144,0000020_8_25_17,1,0.1831124399730825,0.8168875600269175,0.0008515680125280931,0.0006956353159510455,0.0006956353159510455,0.0
S00145,0000001_17_60_25,1,0.23536805574328573,0.7646319442567142,0.0008635596341529674,0.0006603052820440003,0.0006603052820440003,0.0048074365336157
S00146,0000001_1_48_16,1,0.19653832203543234,0.8034616779645677,0.0009455228307917963,0.0007596913601817847,0.0007596913601817847,0.0
S00148,0000001_17_21_22,1,0.23829562041054766,0.7617043795894524,0.0009007325035657654,0.0006860918928046155,0.0006860918928046155,0.0023848940713548
S00149,0000001_17_45_19,1,0.206377181594833,0.793622818405167,0.000851034541418772,0.0006754004313209147,0.0006754004313209147,0.0
S00150,0000020_10_45_21,1,0.803141541348681,0.196858458651319,0.000900464632294202,0.00017726407958346336,0.00017726407958346336,0.0024284534611569
S00151,0000001_9_37_22,1,0.4210957761872024,0.5789042238127976,0.0008139956945343347,0.00047122554573135814,0.00047122554573135814,0.0
S00152,0000017_25_45_27,1,0.6995258076765462,0.30047419232345385,0.0009320123225999339,0.0002800456498687215,0.0002800456498687215,0.0
S00153,0000001_7_47_24,1,0.5522343615472733,0.44776563845272666,0.0008702801428265135,0.00038968154378544393,0.00038968154378544393,0.0
S00154,0000001_15_48_24,1,0.2474733491682212,0.7525266508317788,0.0008832135401518312,0.0006646417273397364,0.0006646417273397364,0.0024048348309115
S00155,0000001_10_39_13,1,0.44937056344174053,0.5506294365582595,0.0008824404286373728,0.0004858976760168256,0.0004858976760168256,0.0
S00156,0000001_11_25_17,1,0.3782339509741294,0.6217660490258706,0.0009201031477307693,0.0005720888988608274,0.0005720888988608274,0.0
S00157,0000009_7_29_17,1,0.5905482888642147,0.40945171113578527,0.000878412700288993,0.0003596675832167339,0.0003596675832167339,0.0023905723905723
S00158,0000001_11_39_30,1,0.4040511425046356,0.5959488574953644,0.0008836225736734036,0.0005265938632377784,0.0005265938632377784,0.0
S00162,0000001_23_16_22,1,0.2104140035835529,0.7895859964164471,0.0009015617632851126,0.0007118605431944446,0.0007118605431944446,0.0
S00164,0000017_19_41_12,1,0.34290592728110414,0.6570940727188959,0.0008374890752136663,0.0005503091072897297,0.0005503091072897297,0.0
S00165,0000001_23_55_25,1,0.2357083789615096,0.7642916210384905,0.0007869411677593341,0.0006014525407687042,0.0006014525407687042,0.0
S00166,0000001_23_33_21,1,0.21722675380221174,0.7827732461977883,0.0008164268783707056,0.0006390771178653641,0.0006390771178653641,0.0
S00168,0000007_10_25_22,1,0.09318670727824932,0.9068132927217507,0.00087065512126755,0.0007895216373416821,0.0007895216373416821,0.0044468304030778
S00169,0000007_5_44_15,1,0.1071719854128284,0.8928280145871716,0.0008934007613145404,0.0007976532279551288,0.0007976532279551288,0.002185201306724
S00170,0000007_5_32_12,1,0.12410632066468906,0.8758936793353109,0.0009552353452076932,0.0008366846011451022,0.0008366846011451022,0.0
S00171,0000007_10_37_22,1,0.14023647675986106,0.8597635232401389,0.0008317077653539753,0.0007150719986469165,0.0007150719986469165,0.002232734493277
S00174,0000007_20_40_22,1,0.15463640776080945,0.8453635922391906,0.0008770800931118057,0.0007414515781944798,0.0007414515781944798,0.0
S00175,0000007_21_46_13,1,0.16921011353422813,0.8307898864657719,0.0008432475421116753,0.0007005615297735,0.0007005615297735,0.0
S00177,0000021_19_40_29,1,0.09499599364364598,0.905004006356354,0.0008703338052989486,0.0007876555806629194,0.0007876555806629194,0.0043713251623854
S00178,0000021_19_46_28,1,0.14774537565885315,0.8522546243411468,0.0008768583020472106,0.0007473065428116614,0.0007473065428116614,0.0
S00180,0000021_22_54_28,1,0.34496508305669865,0.6550349169433014,0.0008485326175106135,0.0005558184926347469,0.0005558184926347469,0.0
S00181,0000021_22_33_20,1,0.16094425691744232,0.8390557430825577,0.0009589626086645518,0.0008046230842014235,0.0008046230842014235,0.0
S00183,0000021_22_55_14,1,0.24504552878586985,0.7549544712141302,0.000892623451154167,0.0006738900655594262,0.0006738900655594262,0.0
