ufs_serial,run_wf_xy,prob,health
S00691,0000020_16_34_26,0.0067641299945360115,0.0
S00692,0000020_19_31_19,0.28736153807883236,0.0
S00693,0000020_24_61_18,0.0489343058268344,0.0
S00698,0000007_15_42_15,0.12901869291705492,0.0
S00700,0000007_10_51_16,0.4932877504238773,0.0
S00702,0000022_17_55_27,0.003506379031626856,0.0
S00703,0000026_1_34_23,0.005743368118966085,0.0
S00705,0000022_21_39_30,0.0011994619732845497,0.0
S00706,0000022_20_20_24,0.001464685511648301,0.0
S00707,0000022_20_44_28,5.941625697248467e-05,0.0
S00708,0000022_19_36_20,0.047246614201053326,0.0
S00711,0000022_23_62_23,0.001514446756107171,0.0
S00713,0000026_1_23_14,0.0027941832675626864,0.0
S00717,0000025_1_22_22,0.0009587345917331568,0.0
S00718,0000020_4_61_23,0.012077019881868328,0.0
S00719,0000018_19_62_25,0.9723279981686471,0.0
S00720,0000019_5_44_12,0.17036144705173176,0.0
S00722,0000020_4_62_17,0.03038092968193666,0.0
S00726,0000020_2_27_19,0.3389787007371789,0.0
S00727,0000027_25_32_30,0.053748765599577634,0.0
S00728,0000027_24_44_30,0.08354219539291419,0.0
S00729,0000027_19_63_22,0.05336632340849484,0.0
S00731,0000027_15_59_25,0.39572623990086714,0.0
S00732,0000027_19_32_20,0.797069580460638,0.0
S00733,0000027_20_51_21,0.02137047610712292,0.0
S00735,0000015_10_56_27,0.1666795085524215,0.0
S00736,0000015_1_37_28,0.010227740811976901,0.0
S00737,0000015_10_44_31,0.28437519649105764,0.0
S00738,0000015_6_60_26,0.056127029711065056,0.0
S00740,0000015_3_43_17,0.00021280467334710296,0.0
S00741,0000015_7_59_18,0.009921870164477079,0.0
S00742,0000015_10_33_14,0.001991082615860925,0.0
S00747,0000015_4_27_25,0.015718226943844848,0.0
S00748,0000022_10_52_22,0.12484555571788243,0.0
S00752,0000022_14_45_13,0.5550698722601853,0.0
S00754,0000022_12_26_20,0.1834672878356931,0.0
S00755,0000027_5_59_16,0.005124975029936213,0.0
S00757,0000025_14_40_19,0.002166869702703714,0.0
S00758,0000025_11_45_31,0.19596429899957057,0.0
S00761,0000025_14_62_23,0.002597956971383351,0.0
S00763,0000021_22_57_22,0.10664140639898197,0.0
S00769,0000021_17_52_30,0.6907021625922498,0.0
S00771,0000021_14_25_19,0.05861405181838946,0.0
S00772,0000016_9_52_21,0.324212263976465,0.0
S00773,0000021_6_13_22,0.6441341353447776,0.0
S00774,0000016_3_62_23,0.09623131572342276,0.0
S00777,0000012_17_39_13,0.007688700748319334,0.0
S00778,0000011_23_53_23,0.004044292875632621,0.0
S00781,0000009_24_45_26,0.016602402525871432,0.0
S00782,0000009_14_35_20,0.6455942350866583,0.0
S00784,0000009_2_42_27,0.38551152555189,0.0
S00786,0000001_21_42_31,0.19843994081234637,0.0
S00787,0000009_2_42_25,0.04625564092328703,0.0
S00788,0000008_22_19_26,0.1182291131887871,0.0
S00789,0000001_15_15_21,0.00508943758492986,0.0
S00791,0000002_18_51_19,0.48627816755513853,0.0
S00792,0000002_21_56_28,0.7920752732609935,0.0
S00793,0000002_21_32_14,0.11606117220553282,0.0
S00794,0000002_15_61_20,0.27183538800884166,0.0
S00795,0000002_2_48_19,0.22413893509091093,0.0
S00797,0000023_22_51_26,0.6631421521154378,0.0
S00798,0000021_22_15_17,0.003934846994645676,0.0
S00800,0000023_7_20_16,0.056290256248982116,0.0
S00801,0000023_18_17_26,0.17536965701025456,0.0
S00803,0000023_22_23_18,0.319984231361264,0.0
S00805,0000023_21_57_28,0.1033038448594824,0.0
S00809,0000007_19_19_25,0.6325094617635083,0.0
S00815,0000008_4_46_14,0.12195395584674647,0.0
