run_id,wafer_no,total_dies,risk_dies,avg_ppm,total_units,risk_units
44,3,72,0,191.0,18,0
44,4,80,0,303.4,20,0
44,6,48,0,344.0,12,0
44,7,80,0,326.7,20,0
44,8,76,0,210.3,19,0
44,10,96,0,307.0,24,0
44,11,88,0,726.3,22,0
44,12,80,0,760.5,20,0
44,13,64,15,819.5,16,7
44,14,92,2,779.7,23,6
44,15,92,0,724.0,23,0
44,16,92,0,785.0,23,0
44,18,60,0,754.4,15,0
44,19,92,0,735.8,23,0
45,1,112,64,846.8,28,15
45,2,72,0,763.3,18,0
45,3,88,8,795.5,22,5
45,5,92,0,810.0,23,9
45,6,116,0,791.1,29,0
45,7,92,0,791.7,23,0
45,8,60,0,703.9,15,0
45,9,80,0,792.0,20,0
45,11,4,0,731.1,1,0
45,12,4,0,657.3,1,0
45,13,120,0,794.2,30,0
45,14,76,0,775.7,19,0
45,15,52,31,847.6,13,6
45,17,52,0,789.1,13,2
45,18,96,3,772.2,24,4
45,19,64,0,740.2,16,0
45,20,88,12,816.0,22,12
45,24,84,51,846.5,21,11
45,25,64,0,393.7,16,0
46,3,56,0,747.9,14,0
46,6,96,0,713.9,24,0
46,9,84,0,731.0,21,0
46,11,60,0,693.4,15,0
46,16,136,0,715.7,34,0
46,19,128,0,722.1,32,0
46,24,104,0,546.6,26,0
46,25,84,0,271.9,21,0
47,19,88,0,705.8,22,0
47,22,72,0,732.7,18,0
47,24,44,0,762.2,11,0
47,25,52,0,629.2,13,0
48,5,80,0,522.7,20,0
48,9,80,0,184.2,20,0
48,11,84,0,689.6,21,0
48,14,80,0,547.9,20,0
49,1,60,5,822.2,15,7
49,2,68,0,726.1,17,0
49,4,88,0,468.9,22,0
49,6,76,0,739.0,19,0
49,8,64,0,725.3,16,0
49,10,84,0,214.7,21,0
49,16,80,0,438.9,20,0
49,19,64,0,692.2,16,0
49,24,92,0,702.4,23,0
50,1,92,0,414.3,23,0
50,3,36,0,422.5,9,0
50,6,92,0,318.4,23,0
50,8,44,0,586.5,11,0
50,9,60,0,621.7,15,0
50,11,76,0,642.3,19,0
50,14,64,0,360.9,16,0
50,16,68,0,677.7,17,0
50,17,48,0,526.3,12,0
50,19,40,21,781.4,10,1
50,22,72,0,687.8,18,0
50,24,72,0,723.0,18,0
50,25,56,0,760.3,14,0
51,1,80,0,643.0,20,0
51,3,60,0,751.2,15,0
51,4,80,0,670.1,20,0
51,5,72,0,706.0,18,0
51,6,96,0,672.8,24,0
51,7,116,0,677.7,29,0
51,9,68,0,638.4,17,0
51,10,40,0,515.9,10,0
51,11,60,0,512.4,15,0
51,12,92,0,671.9,23,0
51,13,84,0,717.1,21,0
51,14,52,0,628.9,13,0
51,15,92,0,667.2,23,0
51,16,76,0,191.0,19,0
51,17,96,0,148.0,24,0
51,18,68,0,197.9,17,0
51,19,96,0,216.6,24,0
51,20,68,0,175.4,17,0
51,21,100,0,183.3,25,0
51,22,84,0,174.5,21,0
51,23,68,0,138.7,17,0
52,1,96,0,769.0,24,0
52,2,56,3,760.4,14,1
52,4,72,0,744.2,18,0
52,5,68,0,761.6,17,0
52,6,72,0,714.5,18,0
52,7,84,0,735.5,21,0
52,10,104,0,657.4,26,0
52,11,88,0,750.8,22,0
52,12,84,0,766.9,21,1
52,13,104,0,711.2,26,0
52,14,84,0,773.9,21,0
52,15,28,0,692.7,7,0
52,16,72,0,582.1,18,0
52,17,60,0,717.8,15,0
52,18,56,0,759.0,14,0
52,19,96,0,732.6,24,0
52,20,100,0,673.2,25,0
52,21,80,0,669.8,20,0
52,22,76,0,699.5,19,0
52,23,72,0,693.5,18,0
52,24,84,0,598.1,21,0
53,1,84,83,886.2,21,0
53,2,88,83,889.4,22,9
53,3,60,52,867.3,15,1
53,4,60,35,849.4,15,6
53,5,64,45,851.9,16,4
53,6,92,65,838.2,23,5
53,7,100,75,848.6,25,3
53,8,76,71,880.4,19,5
53,9,92,62,845.2,23,8
53,10,92,61,844.8,23,7
53,11,116,84,856.9,29,6
53,12,60,31,848.9,15,8
53,13,96,82,872.1,24,1
53,14,80,62,858.1,20,3
53,15,92,43,833.1,23,11
53,16,84,80,885.4,21,2
53,17,84,46,842.9,21,7
53,18,60,7,803.0,15,5
53,19,96,70,848.6,24,6
53,20,72,64,868.0,18,1
53,21,80,38,812.5,20,4
53,22,116,39,831.3,29,19
53,23,88,67,866.7,22,3
53,24,84,52,837.8,21,3
53,25,96,42,828.5,24,8
54,1,100,0,707.8,25,0
54,3,88,0,682.1,22,0
54,8,108,0,511.9,27,0
54,9,96,0,210.6,24,0
54,11,100,0,224.1,25,0
54,14,72,0,204.0,18,0
54,16,84,0,243.4,21,0
54,17,92,0,228.0,23,0
54,24,116,0,575.1,29,0
54,25,48,0,576.2,12,0
55,1,92,0,163.8,23,0
55,3,80,0,149.4,20,0
55,8,116,0,688.1,29,0
55,9,124,0,676.2,31,0
55,11,52,0,632.2,13,0
55,14,104,0,712.4,26,0
55,17,88,0,680.4,22,0
56,2,112,0,510.5,28,0
56,3,104,0,482.1,26,0
56,4,92,0,387.6,23,0
56,5,60,0,235.1,15,0
56,6,84,0,391.7,21,0
56,8,40,0,379.8,10,0
56,10,96,0,444.4,24,0
56,12,72,0,349.6,18,0
56,14,56,0,464.7,14,0
56,15,92,0,684.6,23,0
56,16,92,0,527.9,23,0
56,18,112,0,664.9,28,0
56,19,44,0,614.0,11,0
56,20,92,0,616.4,23,0
56,21,68,0,596.5,17,0
56,22,40,0,617.4,10,0
56,23,68,0,563.7,17,0
56,24,104,0,497.5,26,0
56,25,88,0,480.0,22,0
57,1,64,1,220.5,16,2
57,2,104,1,257.8,26,1
57,4,72,6,236.2,18,0
