die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
25,16,638,0.00064312,0.00089999,0.00023083,90,14.11,643.1,900.0,15.042
25,17,570,0.0006735,0.00091254,0.00020128,68,11.93,673.5,912.5,14.705
25,18,604,0.00067787,0.00091417,0.00020696,105,17.38,677.9,914.2,14.431
25,19,719,0.00064459,0.00090591,0.00024913,171,23.78,644.6,905.9,14.221
25,20,545,0.00066101,0.000912,0.00021555,110,20.18,661.0,912.0,14.08
25,21,585,0.00065892,0.00093296,0.00023939,117,20.0,658.9,933.0,14.009
25,22,817,0.00063076,0.00090958,0.00026055,185,22.64,630.8,909.6,14.009
25,23,620,0.00062124,0.00090322,0.0002231,90,14.52,621.2,903.2,14.08
25,24,615,0.00061576,0.00090801,0.00024317,97,15.77,615.8,908.0,14.221
25,25,685,0.00065103,0.00090155,0.00022552,146,21.31,651.0,901.6,14.431
25,26,811,0.0006015,0.00090877,0.00024735,114,14.06,601.5,908.8,14.705
25,27,709,0.00062,0.00091625,0.00020447,33,4.65,620.0,916.2,15.042
25,28,746,0.00064223,0.00090423,0.00020091,61,8.18,642.2,904.2,15.435
25,29,462,0.00066047,0.00089178,0.00019113,59,12.77,660.5,891.8,15.882
25,30,638,0.00063469,0.00092593,0.00017025,30,4.7,634.7,925.9,16.378
26,12,137,0.00059434,0.0008291,0.00017204,0,0.0,594.3,829.1,16.101
26,13,656,0.00061503,0.0009294,0.0001946,24,3.66,615.0,929.4,15.532
26,14,657,0.00059927,0.00089205,0.00024209,57,8.68,599.3,892.0,15.008
26,15,534,0.00061758,0.00092868,0.00024862,71,13.3,617.6,928.7,14.534
26,16,808,0.00066166,0.00090955,0.00020544,78,9.65,661.7,909.6,14.116
26,17,780,0.00062271,0.00089988,0.00023672,119,15.26,622.7,899.9,13.757
26,18,632,0.00066981,0.00090816,0.00021067,128,20.25,669.8,908.2,13.463
26,19,575,0.00069023,0.00091338,0.00021046,156,27.13,690.2,913.4,13.238
26,20,591,0.00062756,0.00091353,0.00023052,86,14.55,627.6,913.5,13.086
26,21,604,0.00064486,0.00090946,0.00025728,84,13.91,644.9,909.5,13.01
26,22,659,0.00066307,0.00090295,0.00020275,123,18.66,663.1,903.0,13.01
26,23,625,0.00060006,0.00089806,0.0002433,82,13.12,600.1,898.1,13.086
26,24,813,0.0006485,0.00091321,0.00021873,99,12.18,648.5,913.2,13.238
26,25,671,0.00063461,0.00089802,0.00022604,89,13.26,634.6,898.0,13.463
26,26,592,0.00068593,0.00089805,0.0001979,85,14.36,685.9,898.0,13.757
26,27,648,0.00065192,0.00090792,0.00019873,59,9.1,651.9,907.9,14.116
26,28,534,0.00064833,0.00090508,0.00021362,74,13.86,648.3,905.1,14.534
26,29,568,0.00064601,0.00088943,0.0002207,67,11.8,646.0,889.4,15.008
26,30,612,0.00061776,0.00090041,0.00018508,33,5.39,617.8,900.4,15.532
26,31,31,0.00064032,0.00091836,0.0001908,1,3.23,640.3,918.4,16.101
27,12,462,0.00060506,0.00089995,0.00018157,18,3.9,605.1,900.0,15.305
27,13,544,0.00061689,0.00089344,0.00020889,32,5.88,616.9,893.4,14.705
27,14,662,0.00063029,0.00089939,0.00023116,85,12.84,630.3,899.4,14.151
27,15,505,0.00064676,0.00090399,0.0002329,69,13.66,646.8,904.0,13.647
27,16,722,0.00061891,0.00090093,0.00023231,79,10.94,618.9,900.9,13.2
27,17,596,0.00061257,0.00091034,0.00025918,71,11.91,612.6,910.3,12.816
27,18,560,0.00062186,0.00091634,0.00024761,92,16.43,621.9,916.3,12.5
27,19,562,0.00061411,0.00091316,0.00026049,110,19.57,614.1,913.2,12.258
