feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero,lgbm_rank,et_rank,enet_rank
X827,0.0,0.0026118859209092616,0.0,False,False,True,302.5,35.0,297.5
X828,0.0,0.0014052790492908491,0.0,False,False,True,302.5,431.0,297.5
X829,0.0,0.0011523483077900145,0.0,False,False,True,302.5,530.0,297.5
X830,0.0,0.0019059319382502514,0.0,False,False,True,302.5,163.0,297.5
X831,0.0,0.0018232182338319552,0.0,False,False,True,302.5,185.0,297.5
X832,0.2,0.00316046180818683,0.0,False,False,True,9.0,19.0,297.5
X833,0.0,0.0016178534744259927,0.0,False,False,True,302.5,291.0,297.5
X834,0.0,0.0020236392340119264,0.0,False,False,True,302.5,127.0,297.5
X835,0.0,0.001902407066337005,0.0,False,False,True,302.5,165.0,297.5
X836,0.0,0.002675828896232738,0.0,False,False,True,302.5,30.0,297.5
X837,0.0,0.0017923368560613124,0.0,False,False,True,302.5,198.0,297.5
X838,0.0,0.0014768810500033138,0.0,False,False,True,302.5,379.0,297.5
X839,0.0,0.0012754709083503861,0.0,False,False,True,302.5,499.0,297.5
X840,0.0,0.001683265082766046,0.0,False,False,True,302.5,251.0,297.5
X841,0.0,0.0014550989395181822,0.0,False,False,True,302.5,395.0,297.5
X842,0.0,0.0017482511802387993,0.0,False,False,True,302.5,217.0,297.5
X843,0.0,0.0023487543236112747,0.0,False,False,True,302.5,64.0,297.5
X844,0.0,0.002605249743079774,0.0,False,False,True,302.5,36.0,297.5
X845,0.0,0.0011805699892326518,0.0,False,False,True,302.5,525.0,297.5
X846,0.0,0.0013630102246151785,0.0,False,False,True,302.5,457.0,297.5
X847,0.0,0.0014800079783329541,0.0,False,False,True,302.5,377.0,297.5
X848,0.0,0.001414903942787276,0.0,False,False,True,302.5,425.0,297.5
X849,0.0,0.001713282048825841,0.0,False,False,True,302.5,234.0,297.5
X850,0.0,0.0017833554582828023,0.0,False,False,True,302.5,202.0,297.5
X851,0.0,0.0020827287200047328,0.0,False,False,True,302.5,113.0,297.5
X852,0.0,0.002114521085705351,0.0,False,False,True,302.5,104.0,297.5
X853,0.0,0.0018078621534934232,0.0,False,False,True,302.5,191.0,297.5
X854,0.0,0.0019619566308539224,0.0,False,False,True,302.5,149.0,297.5
X855,0.0,0.0018186891278252765,0.0,False,False,True,302.5,187.0,297.5
X856,0.0,0.0016440662817429556,0.0,False,False,True,302.5,277.0,297.5
X857,0.0,0.0015128966454261137,0.0,False,False,True,302.5,351.0,297.5
X859,0.0,0.0014283665678861048,0.0,False,False,True,302.5,412.0,297.5
X860,0.0,0.0015705185414785585,0.0,False,False,True,302.5,316.0,297.5
X862,0.0,0.00157587306468196,0.0,False,False,True,302.5,312.0,297.5
X864,0.0,0.0014356089208212273,0.0,False,False,True,302.5,407.0,297.5
X866,0.0,0.0014585961974748257,0.0,False,False,True,302.5,393.0,297.5
X867,0.0,0.0013593762068523148,0.0,False,False,True,302.5,460.0,297.5
X868,0.0,0.0016220830902262822,0.0,False,False,True,302.5,288.0,297.5
X870,0.0,0.0016420907501367096,0.0,False,False,True,302.5,278.0,297.5
X873,0.0,0.0020108732937871676,0.0,False,False,True,302.5,133.0,297.5
X874,0.0,0.0016597568166453025,0.0,False,False,True,302.5,265.0,297.5
X875,0.0,0.0017672204112559094,0.0,False,False,True,302.5,209.0,297.5
X877,0.0,0.0017927192997652965,0.0,False,False,True,302.5,197.0,297.5
X879,0.0,0.001987251722558147,0.0,False,False,True,302.5,140.0,297.5
X880,0.0,0.0021912005244334497,0.0,False,False,True,302.5,89.0,297.5
X881,0.0,0.001874818503245311,0.0,False,False,True,302.5,175.0,297.5
X882,0.0,0.001741328080898414,0.0,False,False,True,302.5,219.0,297.5
X883,0.0,0.0015637916314418065,0.0,False,False,True,302.5,320.0,297.5
X884,0.0,0.0020130043035930544,0.0,False,False,True,302.5,131.0,297.5
X885,0.0,0.001555188525628129,0.0,False,False,True,302.5,327.0,297.5
X886,0.0,0.0014709614299438889,0.0,False,False,True,302.5,387.0,297.5
X887,0.0,0.0015494748980532103,0.0,False,False,True,302.5,330.0,297.5
X888,0.0,0.0020453553431188437,0.0,False,False,True,302.5,123.0,297.5
X889,0.0,0.0020013115347616356,0.0,False,False,True,302.5,134.0,297.5
X890,0.0,0.002366687894338068,0.0,False,False,True,302.5,62.0,297.5
X891,0.0,0.0019914958490506716,0.0,False,False,True,302.5,136.0,297.5
X892,0.0,0.003254482874951945,0.0,False,False,True,302.5,17.0,297.5
X893,0.0,0.0023119997141021523,0.0,False,False,True,302.5,70.0,297.5
X894,0.0,0.002216301941127312,0.0,False,False,True,302.5,84.0,297.5
X896,0.0,0.0013082576208830413,0.0,False,False,True,302.5,477.0,297.5
X899,0.0,0.00144458859174734,0.0,False,False,True,302.5,401.0,297.5
X900,0.0,0.0016000494707993237,0.0,False,False,True,302.5,296.0,297.5
X903,0.0,0.0013745591676231407,0.0,False,False,True,302.5,447.0,297.5
X904,0.0,0.0015885777160511952,0.0,False,False,True,302.5,305.0,297.5
X905,0.0,0.001490182509191543,0.0,False,False,True,302.5,370.0,297.5
X907,0.0,0.0015734914368354808,0.0,False,False,True,302.5,314.0,297.5
X910,0.0,0.0012813057584917381,0.0,False,False,True,302.5,492.0,297.5
X911,0.0,0.0014662131861898353,0.0,False,False,True,302.5,390.0,297.5
X912,0.0,0.001984486223413811,0.0,False,False,True,302.5,142.0,297.5
X913,0.0,0.0020926309135256165,0.0,False,False,True,302.5,110.0,297.5
X914,0.0,0.001150275836959665,0.0,False,False,True,302.5,531.0,297.5
X915,0.0,0.0019849011498214103,0.0,False,False,True,302.5,141.0,297.5
X916,0.0,0.0025679928537891777,0.0,False,False,True,302.5,39.0,297.5
X917,0.0,0.0012914244604642917,0.0,False,False,True,302.5,490.0,297.5
X918,0.0,0.0024966523927257055,0.0,False,False,True,302.5,42.0,297.5
X919,0.0,0.0011846127518369842,0.0,False,False,True,302.5,522.0,297.5
X920,0.0,0.0020116382210883937,0.0,False,False,True,302.5,132.0,297.5
X921,0.0,9.597518807076414e-05,0.0,False,True,True,302.5,580.0,297.5
X922,0.0,0.0003851388423501675,0.0,False,True,True,302.5,575.0,297.5
X923,0.0,0.0004884433281602267,0.0,False,True,True,302.5,571.0,297.5
X924,0.0,0.003280576322235826,0.0,False,False,True,302.5,16.0,297.5
X925,0.0,0.0019293439134167607,0.0,False,False,True,302.5,156.0,297.5
X926,0.0,0.0012314176550407526,0.0,False,False,True,302.5,514.0,297.5
X927,0.0,0.0012377227789489502,0.0,False,False,True,302.5,509.0,297.5
X928,0.0,0.0018935441006810213,0.0,False,False,True,302.5,169.0,297.5
X929,0.0,0.002186303018766932,0.0,False,False,True,302.5,92.0,297.5
X930,0.0,0.0014168409842434226,0.0,False,False,True,302.5,419.0,297.5
X931,0.0,0.0026041925559374627,0.0,False,False,True,302.5,37.0,297.5
X932,0.0,0.0013224590551392426,0.0,False,False,True,302.5,475.0,297.5
X933,0.0,0.0,0.0,False,True,True,302.5,587.5,297.5
X935,0.0,0.0027200225662325317,0.0,False,False,True,302.5,28.0,297.5
X936,0.0,0.002245916746961358,0.0,False,False,True,302.5,80.0,297.5
X937,0.0,0.0015906833760983413,0.0,False,False,True,302.5,303.0,297.5
X938,0.0,0.0014458380292412972,0.0,False,False,True,302.5,399.0,297.5
X939,0.0,0.002182289448011419,0.0,False,False,True,302.5,94.0,297.5
X940,0.0,0.002786614548028544,0.0,False,False,True,302.5,25.0,297.5
X941,0.0,0.002649763296742572,0.0,False,False,True,302.5,34.0,297.5
X942,0.0,0.002416074839935866,0.0,False,False,True,302.5,51.0,297.5
X943,0.0,0.0033052413378165313,0.0,False,False,True,302.5,15.0,297.5
X944,0.0,0.00201582882878456,0.0,False,False,True,302.5,130.0,297.5
X945,0.0,0.0001985644036131096,0.0,False,True,True,302.5,578.0,297.5
X946,0.0,0.0007798151362929438,0.0,False,True,True,302.5,565.0,297.5
X947,0.0,0.0006084998394048302,0.0,False,True,True,302.5,570.0,297.5
X948,0.0,0.0016706123155491082,0.0,False,False,True,302.5,257.0,297.5
X949,0.0,0.0023934392727810623,0.0,False,False,True,302.5,58.0,297.5
X950,0.0,0.0016155734539825492,0.0,False,False,True,302.5,292.0,297.5
X951,0.0,0.0,0.0,False,True,True,302.5,587.5,297.5
X952,0.0,0.0013598530303380826,0.0,False,False,True,302.5,459.0,297.5
X953,0.0,0.001660411661947293,0.0,False,False,True,302.5,264.0,297.5
X954,0.0,0.00044024814672847157,0.0,False,True,True,302.5,572.0,297.5
X955,0.0,0.0021017729564784386,0.0,False,False,True,302.5,107.0,297.5
X957,0.0,0.0008961098188858003,0.0,False,True,True,302.5,557.0,297.5
X958,0.0,0.0007667273470111782,0.0,False,True,True,302.5,566.0,297.5
X959,0.0,0.0009582590071521306,0.0,False,True,True,302.5,555.0,297.5
X960,0.0,0.0021864368681348873,0.0,False,False,True,302.5,91.0,297.5
X961,0.0,0.0015762199391445638,0.0,False,False,True,302.5,311.0,297.5
X962,0.0,0.0024522853093818277,0.0,False,False,True,302.5,48.0,297.5
X963,0.0,0.0009298518537714481,0.0,False,True,True,302.5,556.0,297.5
X964,0.0,0.0022954968641510864,0.0,False,False,True,302.5,74.0,297.5
X965,0.0,0.0008654595505728776,0.0,False,True,True,302.5,560.0,297.5
X966,0.0,0.0010053260809652857,0.0,False,True,True,302.5,553.0,297.5
X967,0.0,0.001380916548927902,0.0,False,False,True,302.5,444.0,297.5
X968,0.0,0.0014244179481040797,0.0,False,False,True,302.5,415.0,297.5
X969,0.0,0.0008867629647747857,0.0,False,True,True,302.5,558.0,297.5
X970,0.0,0.0021622611698564856,0.0,False,False,True,302.5,97.0,297.5
X971,0.0,0.001427044301902546,0.0,False,False,True,302.5,413.0,297.5
X972,0.0,0.0010560811773914643,0.0,False,True,True,302.5,546.0,297.5
X973,0.0,0.0018091572179145098,0.0,False,False,True,302.5,190.0,297.5
X974,0.0,0.0018067522657329534,0.0,False,False,True,302.5,192.0,297.5
X975,0.0,0.0019745427395304197,0.0,False,False,True,302.5,144.0,297.5
X976,0.0,0.001123649154792944,0.0,False,True,True,302.5,537.0,297.5
X977,0.0,0.0013316923624365862,0.0,False,False,True,302.5,472.0,297.5
X978,0.0,0.0016504415440441935,0.0,False,False,True,302.5,269.0,297.5
X979,0.0,0.001405456043358275,0.0,False,False,True,302.5,430.0,297.5
X980,0.0,0.0025097903573071826,0.0,False,False,True,302.5,41.0,297.5
X981,0.0,0.0004112676686538915,0.0,False,True,True,302.5,573.0,297.5
X982,0.0,0.0019614963722091637,0.0,False,False,True,302.5,150.0,297.5
X983,0.0,0.0023311007821794176,0.0,False,False,True,302.5,68.0,297.5
X984,0.0,0.0020284496392164184,0.0,False,False,True,302.5,125.0,297.5
X985,0.0,0.0010703955413053298,0.0,False,True,True,302.5,543.0,297.5
X986,0.0,0.0020952617347836165,0.0,False,False,True,302.5,108.0,297.5
X987,0.0,0.000755840303551402,0.0,False,True,True,302.5,567.0,297.5
X988,0.0,0.0018672694970518714,0.0,False,False,True,302.5,176.0,297.5
X989,0.0,0.0015616859725812986,0.0,False,False,True,302.5,324.0,297.5
X990,0.0,0.0016620763347794127,0.0,False,False,True,302.5,262.0,297.5
X991,0.0,0.001415308599539838,0.0,False,False,True,302.5,423.0,297.5
X992,0.0,0.0016838597948690165,0.0,False,False,True,302.5,250.0,297.5
X993,0.0,0.0018958336875878404,0.0,False,False,True,302.5,167.0,297.5
X994,0.0,0.002019047515815208,0.0,False,False,True,302.5,129.0,297.5
X995,0.0,0.001577946065410669,0.0,False,False,True,302.5,309.0,297.5
X996,0.2,0.002158436818893739,0.0,False,False,True,9.0,98.0,297.5
X997,0.0,0.0021845817708918613,0.0,False,False,True,302.5,93.0,297.5
X998,0.0,0.001248999862352944,0.0,False,False,True,302.5,505.0,297.5
X999,0.0,0.0020924693073845067,0.0,False,False,True,302.5,111.0,297.5
X1000,0.0,0.0033894752094256,0.0,False,False,True,302.5,13.0,297.5
X1001,0.0,0.001989922978001833,0.0,False,False,True,302.5,138.0,297.5
X1002,0.0,0.002148850995494893,0.0,False,False,True,302.5,99.0,297.5
X1003,0.0,0.0022043896485114665,0.0,False,False,True,302.5,86.0,297.5
X1004,0.0,0.0019112910248739456,0.0,False,False,True,302.5,162.0,297.5
X1005,0.0,0.0013558762860109517,0.0,False,False,True,302.5,462.0,297.5
X1006,0.0,0.0018181079273084963,0.0,False,False,True,302.5,188.0,297.5
X1007,0.0,0.001858045282686263,0.0,False,False,True,302.5,178.0,297.5
X1008,0.0,0.0015650042308349098,0.0,False,False,True,302.5,319.0,297.5
X1011,0.0,0.0017561174167306474,0.0,False,False,True,302.5,214.0,297.5
X1012,0.0,0.0014800483375274085,0.0,False,False,True,302.5,376.0,297.5
X1013,0.0,0.001380983653112179,0.0,False,False,True,302.5,443.0,297.5
X1015,0.0,0.001566503603519369,0.0,False,False,True,302.5,318.0,297.5
