ufs_serial,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726,health,is_defect
S07203,16.2648185,0.5819099,2.9844809,18.3053709,4.5196982000000006,27.265,24.2492342,29.0038901,287.2,1758.0,77.0391429,1151.0,1997.25,1016.5,1083.0,0.0059003879178575,1
S07204,13.809745,0.1007409,3.7300291,14.3364405,2.8452763,28.4075,25.1361155,23.1683234,286.45,1759.0,80.44332179999998,1784.5,2115.25,1042.25,1119.0,0.0132441507221659,1
S07206,13.0279686,0.0118576,4.0452167,13.815455599999998,2.8829727000000003,31.572499999999998,27.7774239,24.508011,286.85,1763.75,82.1689834,1645.75,2229.75,1052.0,1112.5,0.0029704804767113,1
S07207,16.2648185,0.5819099,2.9844809,18.3053709,4.5196982000000006,28.66,24.2492342,29.0038901,285.1,1746.75,77.0391429,1665.25,2136.75,1000.0,1091.75,0.0,0
S07208,16.2648185,0.5819099,2.9844809,18.3053709,4.5196982000000006,25.6925,24.2492342,29.0038901,288.7,1734.0,77.0391429,1373.0,1957.0,1036.75,1090.25,0.0,0
S07209,12.0637579,-0.2962837,3.7345722,9.5170981,3.5891032,26.5825,23.0194479,19.9735472,287.55,1765.75,81.55678520000001,1691.0,1981.25,1072.5,1122.75,0.0,0
S07210,14.2835264,2.4848251,8.0483958,6.8684455,4.095089,25.915,25.1573262,19.7441388,287.0,1769.0,76.82529659999999,1593.0,1992.75,1031.0,1123.0,0.0088168247013012,1
S07212,25.9933233,-0.9505142,25.6015853,8.990569500000001,3.8467589,28.6525,18.126740100000003,12.9253537,289.7,1742.25,61.2152723,1400.0,2129.5,965.5,948.75,0.0,0
S07213,15.5685886,-2.3681287,5.543321499999999,11.580638699999998,4.8215781,34.005,27.4075708,19.4730891,288.7,1727.75,76.9921895,1735.5,2216.0,942.0,1005.75,0.0,0
S07214,10.9413302,0.1724537,2.8020419,8.5380985,3.3454113,30.182499999999997,27.945875800000003,17.8025633,287.25,1758.5,82.58014639999998,1755.0,2016.25,904.0,937.0,0.0,0
S07215,9.6735389,-1.2051472,3.0031095000000003,4.905084400000001,3.5233435,26.4825,25.4844663,15.9824853,291.55,1804.0,88.82715329999998,1482.0,1893.0,986.5,895.0,0.0,0
S07221,11.3305842,-0.2805005,2.4903874,5.9241818,2.4884934,30.48,25.9654009,18.3208494,288.85,1831.25,86.92518009999998,1434.0,2021.5,980.0,966.25,0.0,0
S07222,8.780567,0.8701435999999999,3.8790102,5.4439215,3.3025252,32.660000000000004,22.2004492,15.8925108,287.45,1772.5,86.2432705,1376.0,2120.5,978.0,923.75,0.0,0
