split,model,segment,range,n_unit,mean_y,mean_pred,mean_residual,rmse_segment,se_segment,pct_total_se
val,zit_only,very_small,"(0, 0.005]",997,0.0029492540375784236,0.0028588679793351353,-9.038605824328866e-05,0.0012870293389534123,0.0016514751857688767,0.5806296035122043
val,zit_only,small,"(0.005, 0.01]",773,0.0072615829198966406,0.002864754585498741,-0.004396828334397901,0.0046714650594967206,0.016868858825022297,5.9307938113014975
val,zit_only,medium,"(0.01, 0.05]",771,0.01643599499352058,0.0028666340852941054,-0.013569360908226476,0.014855154334269717,0.1701408955374237,59.81854378945004
val,zit_only,large,"(0.05, 0.5]",8,0.07961976175137303,0.002999263131968225,-0.0766204986194048,0.0851859459536075,0.058053163104087493,20.410470206406714
val,bag_zit_combined_best,y=0,y == 0,6178,0.0,0.0022208975072121272,0.0022208975072121272,0.0024578918626859524,0.037322733820688014,13.115999609158868
val,bag_zit_combined_best,very_small,"(0, 0.005]",997,0.0029492540375784236,0.0028443931464856914,-0.000104860891092732,0.0013094019252949778,0.0017093898017602957,0.600715801781931
val,bag_zit_combined_best,small,"(0.005, 0.01]",773,0.0072615829198966406,0.0028519798537907327,-0.004409603066105908,0.004690375003913078,0.01700570446457811,5.976164934285781
val,bag_zit_combined_best,medium,"(0.01, 0.05]",771,0.01643599499352058,0.002868749698316782,-0.0135672452952038,0.014868386913029247,0.17044414456396084,59.897684457540024
val,bag_zit_combined_best,large,"(0.05, 0.5]",8,0.07961976175137303,0.00301657913978105,-0.07660318261159196,0.08520332162253395,0.058076848124103686,20.409435197233385
val,bag_zit_combined_best_xy,y=0,y == 0,6178,0.0,0.0022237757072454383,0.0022237757072454383,0.0024613652398167273,0.03742829381686083,13.145849255024343
val,bag_zit_combined_best_xy,very_small,"(0, 0.005]",997,0.0029492540375784236,0.002845104271733373,-0.00010414976584505043,0.0013159133161304698,0.0017264329720027814,0.6063708837464642
val,bag_zit_combined_best_xy,small,"(0.005, 0.01]",773,0.0072615829198966406,0.0028503008907506916,-0.00441128202914595,0.0046907746397685446,0.01700860247540699,5.973890374869543
val,bag_zit_combined_best_xy,medium,"(0.01, 0.05]",771,0.01643599499352058,0.002864016173579585,-0.013571978819940997,0.014872390245423446,0.17053594153298035,59.89692693248797
val,bag_zit_combined_best_xy,large,"(0.05, 0.5]",8,0.07961976175137303,0.0030422447896803996,-0.07657751696169263,0.0851589741765945,0.058016407062479104,20.376962553871678
val,bag_zit_pp_hpo,y=0,y == 0,6178,0.0,0.0022618007291519324,0.0022618007291519324,0.0024753098837134425,0.03785358842808961,13.294028728789183
val,bag_zit_pp_hpo,very_small,"(0, 0.005]",997,0.0029492540375784236,0.002856768895280414,-9.248514229800992e-05,0.0012726777945018752,0.001614849642312303,0.5671287301693243
val,bag_zit_pp_hpo,small,"(0.005, 0.01]",773,0.0072615829198966406,0.0028641122868225902,-0.00439747063307405,0.0046666678692421195,0.01683423089840437,5.912114504430687
val,bag_zit_pp_hpo,medium,"(0.01, 0.05]",771,0.01643599499352058,0.0028633734802702253,-0.013572621513250355,0.014857303048768807,0.17019011894375824,59.77008850541238
val,bag_zit_pp_hpo,large,"(0.05, 0.5]",8,0.07961976175137303,0.0029004787108723,-0.07671928304050073,0.08532914110432181,0.058248498572810094,20.456639531198423
val,bag_zit_hpo,y=0,y == 0,6178,0.0,0.0022172524509269102,0.0022172524509269102,0.0024096036915590697,0.03587064151341734,12.6011708819643
val,bag_zit_hpo,very_small,"(0, 0.005]",997,0.0029492540375784236,0.002767102370076732,-0.00018215166750169145,0.001245055245272681,0.0015455120760896725,0.5429304007195047
val,bag_zit_hpo,small,"(0.005, 0.01]",773,0.0072615829198966406,0.0027713579883845447,-0.004490224931512097,0.004747376888472191,0.017421554999287527,6.1201021870056636
val,bag_zit_hpo,medium,"(0.01, 0.05]",771,0.01643599499352058,0.002797248377391956,-0.013638746616128626,0.01491564688260924,0.17152939840547857,60.25739070709054
val,bag_zit_hpo,large,"(0.05, 0.5]",8,0.07961976175137303,0.0028686533767766503,-0.07675110837459637,0.08536251469132874,0.05829407131541852,20.478405823219987
val,bag_zit_fixed_ge,y=0,y == 0,6178,0.0,0.002174304973539702,0.002174304973539702,0.0025273941626576925,0.039463341903728716,13.834879917774973
val,bag_zit_fixed_ge,very_small,"(0, 0.005]",997,0.0029492540375784236,0.002943094343282231,-6.1596942961929305e-06,0.001414507552478223,0.0019948291211698793,0.699338170983898
