split,model,segment,n_corrected,bias,rmse_orig,rmse_corr,delta
oof,enet,small,2239,-0.004649920915962793,0.008285523037170617,0.008173201431351237,-0.00011232160581937933
oof,enet,medium,2326,-0.013857940793977067,0.008285523037170617,0.007182768053940053,-0.0011027549832305639
oof,enet,large,19,-0.06702963430971824,0.008285523037170617,0.008086409119921001,-0.00019911391724961557
oof,enet,extreme,1,-0.9982299137543053,0.008285523037170617,0.005531552575412274,-0.002753970461758343
oof,et,y=0,18541,0.002371109671903219,0.008269396990101855,0.008025104788318537,-0.0002442922017833176
oof,et,very_small,3061,-0.00022713748913312257,0.008269396990101855,0.008269032352912363,-3.6463718949136803e-07
oof,et,small,2239,-0.00463439768914083,0.008269396990101855,0.008157608642368865,-0.00011178834773298979
oof,et,medium,2326,-0.013838829412715952,0.008269396990101855,0.007167440787462279,-0.0011019562026395755
oof,et,large,19,-0.06695904845325598,0.008269396990101855,0.008070310346058492,-0.00019908664404336314
oof,et,extreme,1,-0.9977359974153512,0.008269396990101855,0.005510785301749834,-0.0027586116883520206
oof,catboost,y=0,18541,0.0022545484121045743,0.008259275834240328,0.00803845533541373,-0.00022082049882659813
oof,catboost,very_small,3061,-8.966550319115402e-05,0.008259275834240328,0.00825921894136397,-5.68928763579335e-08
oof,catboost,small,2239,-0.004487893593973063,0.008259275834240328,0.008154358148205403,-0.00010491768603492456
oof,catboost,medium,2326,-0.013702610639117254,0.008259275834240328,0.007179007649920758,-0.0010802681843195697
oof,catboost,large,19,-0.06685791653168116,0.008259275834240328,0.008060548294532075,-0.00019872753970825302
oof,catboost,extreme,1,-0.9984051412213222,0.008259275834240328,0.00549094335560505,-0.002768332478635278
oof,_stacking,y=0,18541,0.0023226787849982547,0.008237204070188847,0.008001991130460804,-0.0002352129397280439
oof,_stacking,very_small,3061,8.694169152996508e-05,0.008237204070188847,0.008237150438021812,-5.3632167035591594e-08
oof,_stacking,small,2239,-0.004305060728444483,0.008237204070188847,0.008140448661565262,-9.675540862358507e-05
oof,_stacking,medium,2326,-0.013510155757381579,0.008237204070188847,0.007186044064880747,-0.0010511600053081
oof,_stacking,large,19,-0.06666041269338463,0.008237204070188847,0.00803912093762029,-0.00019808313256855677
oof,_stacking,extreme,1,-0.9978814496160188,0.008237204070188847,0.0054613436592954295,-0.002775860410893418
val,zit_only,y=0,6178,0.002167043649752162,0.00570891991816085,0.005409928702552675,-0.00029899121560817473
val,zit_only,very_small,997,-9.038605824328866e-05,0.00570891991816085,0.005708838174847135,-8.174331371513244e-08
val,zit_only,small,773,-0.004396828334397901,0.00570891991816085,0.00555692475129666,-0.00015199516686419026
val,zit_only,medium,771,-0.013569360908226476,0.00570891991816085,0.0040403885407112854,-0.0016685313774495647
val,zit_only,large,8,-0.0766204986194048,0.00570891991816085,0.005216332304819696,-0.000492587613341154
val,bag_zit_combined_best,y=0,6178,0.0022208975072121272,0.005710229169982951,0.005395831052334546,-0.00031439811764840536
val,bag_zit_combined_best,very_small,997,-0.000104860891092732,0.005710229169982951,0.005710119173722847,-1.099962601038007e-07
val,bag_zit_combined_best,small,773,-0.004409603066105908,0.005710229169982951,0.005557373344184534,-0.00015285582579841698
val,bag_zit_combined_best,medium,771,-0.0135672452952038,0.005710229169982951,0.0040428655832341525,-0.0016673635867487987
val,bag_zit_combined_best,large,8,-0.07660318261159196,0.005710229169982951,0.005217998222752834,-0.000492230947230117
val,bag_zit_combined_best_xy,y=0,6178,0.0022237757072454383,0.005711802775220742,0.005396657332267101,-0.00031514544295364096
