ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00137,0000001_1_62_25,1,0.6589065832923741,0.34109341670762594,0.0015960992039469198,0.0005444189308785768,0.0005444189308785768,0.0
S00138,0000009_20_36_24,1,0.6284849705715067,0.37151502942849335,0.001589710642915083,0.0005906013962853862,0.0005906013962853862,0.0024209654634906
S00139,0000018_24_19_25,1,0.5109315405550333,0.4890684594449667,0.0016269317168837712,0.0007956809883985006,0.0007956809883985006,0.0023857183316292
S00142,0000001_17_25_28,1,0.5669721759962115,0.4330278240037885,0.0017423010992916098,0.0007544648537856544,0.0007544648537856544,0.0023883666839667
S00144,0000020_8_25_17,1,0.5903176323877256,0.4096823676122744,0.001705111398313972,0.0006985540747039439,0.0006985540747039439,0.0
S00145,0000001_17_60_25,1,0.6009266141734518,0.39907338582654817,0.0016094849355852703,0.0006423026026808376,0.0006423026026808376,0.0048074365336157
S00146,0000001_1_48_16,1,0.5359042292930061,0.4640957707069939,0.0018392065940446678,0.0008535680017525453,0.0008535680017525453,0.0
S00148,0000001_17_21_22,1,0.6050125069700161,0.3949874930299839,0.0017484530309086342,0.0006906170793592784,0.0006906170793592784,0.0023848940713548
S00149,0000001_17_45_19,1,0.5497855449911857,0.4502144550088143,0.0017668291615307806,0.0007954520280522607,0.0007954520280522607,0.0
S00150,0000020_10_45_21,1,0.9059653688525532,0.09403463114744681,0.0017023535530806611,0.0001600801884464855,0.0,0.0024284534611569
S00151,0000001_9_37_22,1,0.808237179692286,0.19176282030771397,0.0016464540452551515,0.0003157286712251724,0.0003157286712251724,0.0
S00152,0000017_25_45_27,1,0.7471085438036856,0.25289145619631437,0.0017636685669579469,0.00044601671214566214,0.00044601671214566214,0.0
S00153,0000001_7_47_24,1,0.8601778043656709,0.13982219563432907,0.001826981273464497,0.00025545253303860857,0.00025545253303860857,0.0
S00154,0000001_15_48_24,1,0.638335126520263,0.36166487347973697,0.0017106836754319495,0.0006186941950389474,0.0006186941950389474,0.0024048348309115
S00155,0000001_10_39_13,1,0.7710089225109464,0.22899107748905356,0.001804573836256951,0.0004132313071730341,0.0004132313071730341,0.0
S00156,0000001_11_25_17,1,0.7246431805606668,0.2753568194393332,0.0017867828679678313,0.000492002847552312,0.000492002847552312,0.0
S00157,0000009_7_29_17,1,0.7899947476271745,0.21000525237282552,0.0016894804277801199,0.0003547997636149133,0.0003547997636149133,0.0023905723905723
S00158,0000001_11_39_30,1,0.7012020779136922,0.29879792208630784,0.0018220640637133367,0.000544428956145679,0.000544428956145679,0.0
S00162,0000001_23_16_22,1,0.5584708188379388,0.4415291811620612,0.0017231829625121886,0.0007608355624304214,0.0007608355624304214,0.0
S00164,0000017_19_41_12,1,0.6895463910188386,0.31045360898116137,0.001633515665351142,0.000507130833635525,0.000507130833635525,0.0
S00165,0000001_23_55_25,1,0.5980627014420961,0.40193729855790394,0.0015209288021744507,0.0006113180140449074,0.0006113180140449074,0.0
S00166,0000001_23_33_21,1,0.5895030654543959,0.4104969345456041,0.0017084879758522548,0.0007013290767953746,0.0007013290767953746,0.0
S00168,0000007_10_25_22,1,0.5875595454470343,0.41244045455296574,0.0016410854307137848,0.000676850021003843,0.000676850021003843,0.0044468304030778
S00169,0000007_5_44_15,1,0.4857305660731665,0.5142694339268334,0.0016811924828526227,0.0008645859064786659,0.0008645859064786659,0.002185201306724
S00170,0000007_5_32_12,1,0.5562385825818895,0.4437614174181105,0.0016863780356363848,0.0007483495073967709,0.0007483495073967709,0.0
