ufs_serial,prob,reg,pred,health
S00216,0.32444020179366434,0.007753759687417356,0.0025156313576452666,0.0
S00217,0.2387785494412065,0.008577048392094265,0.002048015173551301,0.0
S00218,0.3399573452964753,0.008282721096637155,0.002815771875843878,0.0
S00220,0.4460488534762595,0.00830355782635692,0.0037037924482203255,0.0048111362800333
S00221,0.3754242333878824,0.00888862052589172,0.0033370035468086954,0.0024405814181889
S00223,0.3836376836025623,0.008312982637915222,0.0031891734030381137,0.0
S00226,0.34682426147442447,0.008303785572002035,0.0028799542984515873,0.0
S00227,0.30665170072949155,0.008814813411862054,0.002703077524360631,0.0
S00229,0.3613434935053319,0.00874342176959725,0.0031593785674168414,0.0
S00233,0.19979860115056788,0.008167824570958188,0.0016319199237206832,0.0
S00237,0.2867171901374328,0.008063924595063554,0.002312065801376758,0.0
S00238,0.20535033908907993,0.007880948981301955,0.0016183555456540956,0.0
S00245,0.31549640628491193,0.007607043238160387,0.0023999948040935417,0.0
S00247,0.32948147682531054,0.008460712824682375,0.0027876481564711934,0.0
S00248,0.3338188857548711,0.008430017407367324,0.0028140990178215273,0.0048394556829523
S00249,0.2676527903805177,0.008673769309461095,0.002321558558794158,0.0072902762090563
S00252,0.2697629904350165,0.00837066343017069,0.002258095198847878,0.0
S00253,0.2758175626081868,0.009167105989147014,0.002528448830097441,0.0
S00257,0.18292021703287148,0.009101020091875793,0.001664760570426444,0.0122792453576052
S00258,0.3517690969792388,0.008423832201002558,0.0029632438464513035,0.004889013491513
S00259,0.2759823896295669,0.007772780185862228,0.002145150449759607,0.0
S00260,0.31856860684099075,0.008333256921382735,0.002654714047892941,0.0
S00261,0.23059246787298565,0.008515950266804103,0.0019637139883059685,0.0
S00262,0.21965645169057027,0.008243495468152345,0.0018107369640616405,0.0
S00264,0.2826497765085211,0.008946183819289712,0.0025286368571263845,0.0
S00265,0.22573836419515195,0.008392303142489422,0.0018944647832153953,0.0021986286219862
S00267,0.339895687389699,0.008350034477999896,0.0028381407086274612,0.0022214176846302
S00268,0.30907839795463465,0.009370665791557318,0.0028962703706228343,0.0
S00269,0.27167642077281223,0.00838229829311351,0.0022772727981231317,0.0
S00270,0.3991875286132236,0.008570728823467839,0.003421328057454248,0.0021931566452205
S00271,0.25035576835960915,0.00850875810573075,0.0021302166733462745,0.0
S00273,0.28718422182680237,0.008952395238410002,0.0025709866600287473,0.0023947190902958
S00275,0.25808896513701063,0.008332130915238415,0.0021504310452999755,0.0
S00277,0.49421881799174344,0.00826128070378379,0.004082880384522022,0.0
S00278,0.4663668577856389,0.008338570058841121,0.003888832716767144,0.0024270303793883
S00283,0.31116754709221,0.008475662122516549,0.002637350992645829,0.0
S00284,0.3302659585934241,0.008410814790364375,0.00277780580929144,0.0
S00289,0.33854875798654177,0.009316163891810132,0.0031539757147713873,0.0
S00290,0.30744363832804017,0.008021004709578488,0.0024660068709591557,0.0024540301396377
S00294,0.3566133720013893,0.008442460454029462,0.003010694290499827,0.0
S00296,0.3246963477638108,0.008713356684982684,0.002829195092377263,0.0
S00297,0.4209401643639594,0.009019594126687958,0.003796709434184232,0.0048750582407611
S00302,0.4250010062030289,0.008667369881868552,0.003683640920927962,0.0
S00303,0.27985820499054437,0.009397480693542948,0.0026299620783282254,0.0044147169073886
S00308,0.3076085025235083,0.008558409352189185,0.002632639484810104,0.0
S00309,0.27027876732772593,0.009006464743290145,0.002434256188797084,0.0021791077496437
S00310,0.2706922292393445,0.008604439931081445,0.002329155026300468,0.0156605896916497
S00311,0.2818801847172375,0.008103844497269525,0.0022843131838101026,0.0
